userId,movieId,rating,timestamp
22787,1391,5,949973238
107510,1704,4,955087617
105798,98847,,
106742,110882,3.5,1498754632
51106,70305,4,1388672213
35440,595,4,941734305
121989,608,5,945235292
145608,88140,3.5,1344560656
62075,4561,,
86116,153,3,844697511
43656,177651,5,1542691969
132534,277,3.5,1225242693
110159,16,4,1111489231
109329,2542,4.5,1504717768
153689,2987,2.5,1103635258
151229,5618,4,1542656015
27128,3263,3,1043886961
92130,587,3,832802598
52407,2797,4,976903783
113484,7587,,
39915,1225,3.5,1367102345
26197,3827,3,1028881411
39943,5541,4.5,1521289105
128545,253,4,1155758647
128525,2107,4,996696639
135319,2083,3,975249856
21637,8865,3.5,1130523317
90158,302,4.5,1053915731
25791,81788,4,1427063370
135579,3083,4,1034885986
132667,595,3.5,1085641569
6253,79132,5,1468321827
83552,162478,,
32632,89774,3,1543277697
113484,208,3,950409127
115211,51528,2,1443032457
61624,7000,1,1532539235
148715,260,5,860222389
50435,168,5,836339851
17097,4306,2.5,1360712690
135579,4707,2,1034885768
82860,2664,3,1275148837
93815,1394,4.5,1104279200
80705,1148,3.5,1375241982
128816,541,5,946076141
57342,160,2,835523016
96584,1408,3.5,1136604563
100602,597,3,837272682
39208,3791,4,963527873
109329,122924,4,1465655571
120041,231,4,835688297
152545,2959,5,1400017674
125510,5971,5,1433190190
47224,608,4,1480385478
89914,6539,4,1175347300
150074,380,4,846401013
145608,5266,4,1119993704
120875,2890,4,1194829835
80253,1805,4.5,1088619677
105053,1201,5,1428486920
97038,4132,3,1108830687
100380,3157,4,1041460155
148364,140,4,837892758
17401,3911,3.5,1119986946
61624,6062,3,1422738713
43061,1036,4,1131320668
82115,506,3,886301757
32395,434,3,1012529413
114175,121129,0.5,1445303109
15436,508,3,1380963955
62374,4011,5,1267265225
114175,106330,3.5,1445303110
133685,168610,4,1499890099
36978,838,4,1028595984
109329,2700,4,1442340450
6796,440,4,945797481
28686,6,5,1000175157
106742,53993,1.5,1498465713
37195,4085,3,1121203823
25339,934,4,850749733
115727,96621,2,1474821987
61787,103141,3,1433454766
107438,56367,4.5,1314503939
144847,76093,3,1544849669
146878,593,4,1027534766
72427,4963,0.5,1487958104
94694,113225,4.5,1435627174
158051,99114,4,1397274622
59207,318,4,846185729
85349,139385,3.5,1472180744
113027,8641,4,1435993757
101378,1884,5,1528223815
8035,1101,3,1504871717
18544,1274,4,1111543088
119425,2329,5,1427988873
125707,172913,7.815865403,
140737,106100,2,1484956050
56024,912,5,1183425602
56522,1970,5,1537236539
6462,2123,3.5,1136486603
44266,708,3,982892259
70795,6385,4.5,1059986007
146232,101864,5,1453692546
25875,86911,4,1480856803
106671,55765,5,1196734185
78141,27878,4,1311823639
21466,116,,
97554,102194,2,1527312306
166,2034,3,951602287
123201,924,4,891249414
118440,1769,,
44266,30816,4,1118454793
110159,750,4.5,1111745794
100889,142488,4,1472807154
151289,22,3,1112134766
65023,4995,,
135319,2810,2,975248724
16680,2993,3,1032407079
161284,4308,3.5,1102202835
2032,53000,3,1225586652
153689,2396,4.5,1103634438
32284,74458,3.5,1491333336
53967,2028,2,972242725
39943,4343,1.5,1521288276
88420,2033,8.595889565,
82115,786,2,886302868
81911,3555,4,987487142
151404,6283,3,1511731204
156053,3996,5,1182025341
65928,3052,1,1031106839
62075,3100,4.5,1280418055
37195,2108,1.5,1121203803
132667,1214,4.5,1085641658
43656,109487,4.5,1542688668
100679,33499,3,1344481620
107474,2915,5,1066672109
153689,2302,1.5,1103633965
121438,1275,4,1557752530
97313,4246,3.5,1501926154
105798,2816,1,972589069
69528,3452,2,1103045179
166,1569,4,942012333
8035,167544,4,1504895115
15135,6188,4,1307438096
97554,5620,4.5,1527311613
56139,4072,,
78141,54881,3.5,1311823715
97554,2581,4,1527312825
119321,2174,2.5,1151102571
158051,104841,3.5,1397274584
154948,6539,4,1511180487
97779,836,2,1068919262
29507,118997,4.5,1463636633
114941,608,5,858952227
35440,1350,,
127228,44191,5,1372059542
65928,1614,2,1040954238
97038,481,3,1108830393
94500,4915,6.964051215,
48352,90719,5,1542762810
28583,87232,3.5,1472238631
92260,3160,4,1175355740
95343,70342,,
116643,370,3,837818182
22859,2100,3,1106429456
78525,937,,
121989,2496,4,945237944
150852,2146,3,986942036
146693,109487,4.5,1553513530
36670,1702,2,1119356418
107474,5500,4.5,1066672144
57423,4766,1,1018372306
153274,64614,3.5,1548775648
122616,1198,5,1240542205
159982,4306,4.5,1111472621
83477,113829,,
159983,88163,5,1440853648
128525,1975,2.5,1099053980
107301,5,3,859221396
48734,173,4,1509009206
125565,61697,3.5,1235640705
44538,32,4,1431446817
21781,3198,3.5,1103745974
87152,40278,3.5,1563624460
65928,2501,3,1040953602
61624,2094,5,1286231324
44538,1801,2.5,1431685456
22672,2162,3.5,1343837164
7905,593,4.5,1500272567
121438,133195,3,1557752523
99452,347,4,864869986
